Food,Category,Calories (per serving),Rasa (Taste),Guna (Qualities),Virya (Potency)
Apple,Vegetable,184,Bitter,Warm,Hot
Ghee,Spice,195,Sour,Oily,Hot
Lentils (Dal),Dairy,7,Sour,Heavy,Cold
Carrot,Legume,194,Astringent,Cool,Cold
Coriander,Dairy,85,Sour,Cool,Cold
Almonds,Fruit,10,Bitter,Heavy,Cold
Pomegranate,Fruit,239,Pungent,Oily,Hot
Lentils (Dal),Spice,157,Astringent,Light,Cold
Carrot,Nut,227,Sour,Cool,Hot
Oats,Dairy,4,Sour,Dry,Cold
Buttermilk,Dairy,234,Pungent,Warm,Cold
Carrot,Spice,261,Sweet,Light,Cold
Apple,Legume,127,Bitter,Heavy,Hot
Barley,Dairy,20,Bitter,Dry,Hot
Pomegranate,Vegetable,232,Astringent,Dry,Cold
Moong Dal,Spice,80,Sweet,Cool,Cold
Buttermilk,Nut,249,Bitter,Cool,Cold
Spinach,Fruit,13,Astringent,Dry,Hot
Mango,Spice,227,Bitter,Heavy,Hot
Pomegranate,Fruit,161,Sweet,Warm,Hot
Quinoa,Grain,240,Pungent,Light,Cold
Chickpeas,Dairy,250,Sour,Dry,Cold
Oats,Grain,13,Astringent,Light,Hot
Banana,Fruit,5,Sour,Dry,Hot
Cucumber,Fruit,245,Pungent,Light,Hot
Cucumber,Vegetable,51,Bitter,Cool,Cold
Barley,Dairy,82,Bitter,Oily,Cold
Brown Rice,Spice,27,Sour,Oily,Hot
Ginger,Nut,140,Sour,Oily,Cold
Barley,Fruit,25,Pungent,Dry,Hot
Lentils (Dal),Vegetable,99,Bitter,Dry,Cold
Ginger,Dairy,45,Sour,Warm,Cold
Lentils (Dal),Nut,157,Astringent,Warm,Hot
Banana,Legume,97,Astringent,Heavy,Hot
Yogurt,Nut,106,Bitter,Warm,Cold
Quinoa,Vegetable,280,Bitter,Light,Hot
Chickpeas,Dairy,42,Sour,Oily,Hot
Coriander,Vegetable,206,Sweet,Heavy,Hot
Cumin,Fruit,109,Sour,Dry,Hot
Moong Dal,Spice,67,Pungent,Heavy,Hot
Almonds,Fruit,255,Sour,Light,Hot
Oats,Nut,202,Sweet,Cool,Cold
Apple,Nut,138,Bitter,Warm,Hot
Buttermilk,Fruit,294,Astringent,Dry,Cold
Mango,Grain,20,Bitter,Cool,Cold
Barley,Legume,153,Bitter,Oily,Cold
Yogurt,Dairy,241,Sweet,Cool,Cold
Ginger,Fruit,257,Sweet,Cool,Cold
Oats,Spice,34,Astringent,Warm,Cold
Buttermilk,Grain,105,Sweet,Light,Hot
Kidney Beans,Grain,80,Bitter,Warm,Cold
Lentils (Dal),Legume,205,Sweet,Heavy,Cold
Apple,Spice,106,Sour,Heavy,Hot
Spinach,Vegetable,121,Bitter,Heavy,Cold
Ginger,Dairy,153,Pungent,Cool,Hot
Cauliflower,Dairy,291,Pungent,Light,Cold
Oats,Grain,293,Sweet,Dry,Cold
Oats,Spice,285,Pungent,Warm,Cold
Broccoli,Legume,269,Pungent,Dry,Hot
Apple,Grain,73,Bitter,Cool,Hot
Lentils (Dal),Vegetable,67,Astringent,Dry,Hot
Ginger,Fruit,211,Sweet,Warm,Cold
Almonds,Dairy,167,Pungent,Warm,Hot
Oats,Grain,191,Sweet,Heavy,Hot
Yogurt,Vegetable,117,Sweet,Oily,Cold
Cucumber,Nut,167,Bitter,Oily,Cold
Oats,Spice,86,Pungent,Warm,Hot
Oats,Fruit,158,Pungent,Oily,Hot
Banana,Legume,112,Pungent,Warm,Hot
Ghee,Nut,152,Sour,Dry,Hot
Pomegranate,Grain,183,Bitter,Oily,Cold
Black Beans,Dairy,231,Pungent,Heavy,Hot
Cauliflower,Legume,90,Bitter,Dry,Cold
Almonds,Spice,8,Astringent,Heavy,Cold
Coriander,Grain,270,Bitter,Warm,Hot
Pomegranate,Grain,284,Bitter,Heavy,Hot
Cauliflower,Nut,129,Sour,Dry,Hot
Spinach,Grain,254,Astringent,Light,Cold
Quinoa,Vegetable,285,Pungent,Oily,Hot
Quinoa,Fruit,253,Sweet,Heavy,Hot
Turmeric,Legume,128,Sour,Heavy,Cold
Apple,Dairy,232,Sour,Cool,Cold
Ginger,Grain,81,Sweet,Heavy,Hot
Cashews,Fruit,5,Astringent,Dry,Hot
Buttermilk,Nut,68,Bitter,Heavy,Hot
Moong Dal,Dairy,147,Astringent,Dry,Hot
Buttermilk,Legume,168,Pungent,Oily,Cold
Cashews,Vegetable,87,Pungent,Light,Hot
Almonds,Grain,126,Sweet,Cool,Cold
Walnuts,Vegetable,259,Pungent,Light,Hot
Cauliflower,Fruit,273,Sweet,Cool,Hot
Kidney Beans,Spice,201,Bitter,Dry,Cold
Carrot,Fruit,201,Pungent,Light,Hot
Turmeric,Fruit,239,Pungent,Heavy,Cold
Oats,Spice,138,Sour,Light,Hot
Apple,Fruit,21,Sweet,Dry,Hot
Ghee,Fruit,40,Sour,Heavy,Hot
Chickpeas,Vegetable,57,Astringent,Cool,Cold
Yogurt,Grain,95,Astringent,Oily,Hot
Carrot,Vegetable,12,Sweet,Light,Cold
Oats,Nut,143,Bitter,Light,Cold
Buttermilk,Legume,280,Sour,Heavy,Hot
Barley,Dairy,237,Sweet,Light,Cold
Yogurt,Legume,236,Bitter,Light,Hot
Lentils (Dal),Legume,135,Pungent,Oily,Cold
Black Beans,Fruit,238,Sour,Heavy,Hot
Buttermilk,Dairy,62,Sour,Light,Hot
Black Beans,Grain,72,Bitter,Oily,Hot
Yogurt,Nut,107,Astringent,Heavy,Cold
Cucumber,Fruit,48,Sweet,Cool,Cold
Moong Dal,Fruit,151,Sour,Oily,Cold
Lentils (Dal),Fruit,204,Bitter,Oily,Cold
Milk,Fruit,297,Sour,Heavy,Hot
Ginger,Spice,60,Sour,Warm,Hot
Broccoli,Vegetable,189,Pungent,Warm,Cold
Chickpeas,Vegetable,220,Sour,Heavy,Hot
Buttermilk,Grain,273,Sour,Oily,Cold
Buttermilk,Fruit,119,Sweet,Cool,Cold
Black Beans,Fruit,82,Sweet,Dry,Cold
Banana,Grain,287,Pungent,Cool,Cold
Chickpeas,Grain,288,Sweet,Oily,Hot
Cumin,Grain,270,Pungent,Oily,Hot
Cauliflower,Legume,292,Sour,Light,Cold
Moong Dal,Spice,153,Bitter,Cool,Hot
Kidney Beans,Legume,75,Sour,Dry,Hot
Cumin,Grain,151,Sweet,Oily,Hot
Walnuts,Spice,61,Sweet,Light,Hot
Ginger,Vegetable,42,Sour,Light,Hot
Buttermilk,Vegetable,25,Bitter,Heavy,Cold
Carrot,Vegetable,226,Bitter,Light,Cold
Pomegranate,Grain,176,Pungent,Dry,Hot
Barley,Spice,93,Astringent,Warm,Cold
Kidney Beans,Grain,94,Bitter,Oily,Cold
Walnuts,Vegetable,204,Sweet,Light,Cold
Spinach,Nut,120,Pungent,Oily,Cold
Oats,Dairy,280,Pungent,Oily,Hot
Cumin,Grain,113,Sour,Heavy,Cold
Pomegranate,Dairy,118,Sour,Light,Cold
Spinach,Spice,260,Pungent,Cool,Hot
Almonds,Dairy,112,Bitter,Heavy,Hot
Quinoa,Fruit,69,Astringent,Warm,Cold
Broccoli,Spice,278,Astringent,Cool,Cold
Apple,Grain,261,Astringent,Dry,Hot
Cashews,Fruit,294,Bitter,Heavy,Hot
Milk,Fruit,99,Pungent,Warm,Hot
Brown Rice,Fruit,272,Bitter,Dry,Hot
Coriander,Fruit,144,Bitter,Heavy,Cold
Cashews,Vegetable,261,Sweet,Warm,Cold
Turmeric,Grain,291,Bitter,Cool,Cold
Milk,Vegetable,88,Sour,Dry,Cold
Cashews,Dairy,5,Astringent,Dry,Cold
Cumin,Legume,185,Sour,Light,Cold
Buttermilk,Dairy,33,Astringent,Warm,Cold
Chickpeas,Vegetable,121,Astringent,Heavy,Hot
Cucumber,Grain,11,Astringent,Cool,Hot
Milk,Nut,219,Sour,Light,Hot
Cumin,Nut,211,Bitter,Dry,Cold
Milk,Grain,216,Astringent,Warm,Cold
Walnuts,Legume,223,Astringent,Light,Cold
Broccoli,Nut,222,Bitter,Oily,Hot
Quinoa,Vegetable,162,Sour,Cool,Cold
Oats,Spice,252,Pungent,Oily,Cold
Kidney Beans,Grain,89,Astringent,Oily,Hot
Apple,Fruit,162,Sour,Dry,Cold
Turmeric,Fruit,232,Bitter,Cool,Cold
Almonds,Nut,161,Pungent,Light,Cold
Broccoli,Fruit,239,Bitter,Heavy,Hot
Cashews,Spice,178,Astringent,Light,Cold
Cauliflower,Fruit,14,Pungent,Cool,Cold
Quinoa,Spice,278,Pungent,Light,Hot
Almonds,Dairy,222,Sweet,Warm,Cold
Barley,Spice,276,Sour,Cool,Hot
Brown Rice,Grain,16,Bitter,Oily,Hot
Apple,Legume,281,Sweet,Oily,Hot
Turmeric,Spice,268,Astringent,Oily,Cold
Milk,Spice,3,Pungent,Heavy,Hot
Pomegranate,Nut,123,Bitter,Dry,Hot
Milk,Legume,129,Bitter,Oily,Hot
Broccoli,Spice,44,Pungent,Warm,Cold
Oats,Spice,296,Astringent,Oily,Hot
Chickpeas,Spice,278,Bitter,Dry,Cold
Pomegranate,Nut,121,Pungent,Cool,Cold
Cashews,Spice,179,Bitter,Dry,Cold
Mango,Vegetable,101,Astringent,Heavy,Hot
Mango,Nut,240,Pungent,Light,Hot
Ginger,Spice,300,Sour,Warm,Hot
Buttermilk,Dairy,292,Sweet,Heavy,Cold
Brown Rice,Spice,16,Sour,Warm,Hot
Coriander,Nut,214,Sour,Dry,Hot
Brown Rice,Spice,188,Astringent,Light,Hot
Quinoa,Vegetable,232,Astringent,Oily,Hot
Kidney Beans,Grain,98,Bitter,Warm,Hot
Broccoli,Nut,76,Sweet,Cool,Cold
Banana,Dairy,37,Sour,Cool,Hot
Yogurt,Dairy,40,Astringent,Warm,Cold
Brown Rice,Legume,135,Astringent,Warm,Hot
Cumin,Dairy,169,Astringent,Oily,Hot
Spinach,Legume,262,Pungent,Cool,Hot
Carrot,Vegetable,156,Astringent,Oily,Cold
Barley,Vegetable,33,Pungent,Dry,Hot
Broccoli,Dairy,1,Pungent,Warm,Hot
Yogurt,Vegetable,202,Sweet,Oily,Hot
Cucumber,Nut,47,Astringent,Dry,Cold
Banana,Vegetable,77,Bitter,Cool,Cold
Walnuts,Fruit,101,Astringent,Light,Cold
Brown Rice,Vegetable,252,Bitter,Warm,Hot
Ghee,Nut,215,Astringent,Dry,Hot
Cucumber,Spice,109,Astringent,Heavy,Cold
Coriander,Legume,64,Bitter,Heavy,Hot
Ginger,Fruit,139,Bitter,Cool,Cold
Coriander,Vegetable,11,Sour,Dry,Cold
Apple,Fruit,28,Pungent,Warm,Hot
Moong Dal,Nut,47,Bitter,Oily,Cold
Ghee,Legume,283,Bitter,Oily,Cold
Chickpeas,Fruit,89,Astringent,Dry,Hot
Turmeric,Spice,210,Sweet,Warm,Hot
Coriander,Nut,300,Sour,Warm,Hot
Kidney Beans,Nut,95,Astringent,Warm,Cold
Brown Rice,Vegetable,132,Sour,Dry,Cold
Barley,Nut,239,Astringent,Cool,Hot
Walnuts,Legume,7,Sour,Dry,Hot
Walnuts,Fruit,175,Bitter,Cool,Cold
Apple,Legume,3,Pungent,Light,Cold
Barley,Grain,41,Sour,Heavy,Hot
Ginger,Nut,13,Bitter,Light,Hot
Mango,Vegetable,214,Sour,Light,Cold
Milk,Legume,73,Pungent,Dry,Cold
Cashews,Fruit,10,Bitter,Cool,Hot
Mango,Nut,221,Sweet,Oily,Cold
Walnuts,Grain,299,Bitter,Light,Cold
Coriander,Spice,233,Pungent,Oily,Hot
Cumin,Legume,123,Bitter,Light,Cold
Almonds,Grain,250,Astringent,Oily,Cold
Almonds,Nut,143,Pungent,Heavy,Cold
Lentils (Dal),Legume,79,Astringent,Cool,Hot
Milk,Nut,38,Pungent,Oily,Cold
Walnuts,Legume,254,Astringent,Warm,Hot
Milk,Grain,212,Sweet,Light,Cold
Milk,Vegetable,202,Astringent,Light,Hot
Ginger,Dairy,202,Bitter,Heavy,Cold
Almonds,Dairy,165,Sweet,Heavy,Hot
Carrot,Fruit,154,Bitter,Warm,Cold
Oats,Nut,48,Pungent,Warm,Hot
Carrot,Legume,271,Bitter,Dry,Cold
Kidney Beans,Fruit,128,Pungent,Heavy,Cold
Buttermilk,Legume,109,Astringent,Warm,Cold
Milk,Legume,285,Astringent,Warm,Hot
Ghee,Fruit,134,Sweet,Warm,Cold
Pomegranate,Vegetable,93,Bitter,Cool,Hot
Banana,Grain,61,Astringent,Cool,Cold
Moong Dal,Nut,15,Bitter,Light,Hot
Cashews,Fruit,104,Bitter,Oily,Cold
Cumin,Nut,175,Sour,Light,Cold
Lentils (Dal),Grain,229,Sour,Heavy,Hot
Kidney Beans,Spice,216,Bitter,Warm,Cold
Spinach,Nut,204,Bitter,Dry,Hot
Lentils (Dal),Grain,138,Sour,Cool,Cold
Brown Rice,Grain,115,Astringent,Heavy,Cold
Lentils (Dal),Vegetable,45,Sweet,Dry,Cold
Broccoli,Grain,237,Bitter,Dry,Cold
Carrot,Fruit,63,Sweet,Oily,Hot
Spinach,Fruit,65,Bitter,Cool,Hot
Buttermilk,Grain,216,Pungent,Heavy,Hot
Walnuts,Nut,132,Sour,Light,Hot
Cumin,Dairy,111,Bitter,Dry,Hot
Oats,Vegetable,159,Pungent,Dry,Hot
Yogurt,Fruit,200,Astringent,Oily,Hot
Almonds,Fruit,134,Pungent,Dry,Cold
Coriander,Vegetable,130,Pungent,Light,Cold
Milk,Legume,249,Bitter,Oily,Hot
Chickpeas,Dairy,190,Astringent,Heavy,Hot
Banana,Fruit,254,Sour,Cool,Hot
Mango,Nut,5,Bitter,Light,Cold
Ginger,Nut,300,Sour,Light,Hot
Brown Rice,Fruit,107,Pungent,Cool,Cold
Mango,Grain,122,Sweet,Cool,Cold
Apple,Fruit,15,Bitter,Heavy,Hot
Barley,Legume,211,Sweet,Cool,Cold
Cucumber,Nut,99,Bitter,Dry,Cold
Quinoa,Legume,202,Sweet,Oily,Hot
Apple,Legume,126,Sweet,Light,Hot
Buttermilk,Grain,45,Sweet,Light,Hot
Brown Rice,Grain,241,Sour,Warm,Cold
Apple,Legume,300,Sweet,Oily,Hot
Brown Rice,Spice,224,Astringent,Dry,Hot
Banana,Grain,12,Sweet,Warm,Cold
Kidney Beans,Fruit,148,Astringent,Light,Hot
Barley,Dairy,145,Sweet,Light,Hot
Cucumber,Fruit,180,Bitter,Warm,Cold
Quinoa,Nut,7,Astringent,Light,Hot
Coriander,Grain,125,Sweet,Dry,Hot
Lentils (Dal),Dairy,284,Bitter,Dry,Hot
Carrot,Legume,271,Bitter,Heavy,Hot
Brown Rice,Nut,242,Astringent,Oily,Hot
Brown Rice,Nut,4,Sour,Heavy,Hot
Coriander,Vegetable,138,Sweet,Heavy,Hot
Cashews,Spice,161,Pungent,Dry,Cold
Moong Dal,Dairy,79,Astringent,Dry,Cold
Kidney Beans,Grain,220,Sweet,Oily,Hot
Walnuts,Vegetable,67,Bitter,Light,Hot
Oats,Grain,240,Astringent,Oily,Cold
Spinach,Dairy,205,Astringent,Light,Cold
Kidney Beans,Nut,237,Sweet,Heavy,Cold
Carrot,Spice,121,Sour,Oily,Hot
Moong Dal,Nut,127,Astringent,Warm,Hot
Pomegranate,Vegetable,278,Bitter,Heavy,Hot
Walnuts,Vegetable,283,Bitter,Oily,Hot
Kidney Beans,Legume,89,Pungent,Cool,Hot
Ghee,Spice,76,Sweet,Dry,Cold
Quinoa,Dairy,203,Bitter,Oily,Hot
Buttermilk,Fruit,49,Sour,Dry,Cold
Ginger,Nut,217,Bitter,Warm,Cold
Pomegranate,Fruit,278,Bitter,Oily,Cold
Spinach,Fruit,162,Bitter,Warm,Hot
Cashews,Spice,268,Pungent,Heavy,Cold
Pomegranate,Grain,145,Sweet,Heavy,Hot
Black Beans,Vegetable,41,Sour,Oily,Hot
Lentils (Dal),Fruit,278,Sweet,Oily,Hot
Apple,Legume,63,Sour,Oily,Cold
Cumin,Vegetable,178,Sour,Cool,Cold
Yogurt,Nut,62,Sweet,Heavy,Hot
Spinach,Grain,288,Bitter,Cool,Hot
Banana,Dairy,182,Sour,Light,Cold
Oats,Grain,125,Astringent,Light,Hot
Buttermilk,Fruit,173,Sweet,Warm,Hot
Milk,Nut,152,Astringent,Cool,Hot
Ginger,Spice,294,Sour,Heavy,Hot
Quinoa,Grain,181,Sweet,Warm,Cold
Quinoa,Vegetable,217,Astringent,Heavy,Cold
Brown Rice,Legume,272,Pungent,Warm,Hot
Ghee,Spice,48,Astringent,Light,Cold
Broccoli,Spice,155,Bitter,Cool,Cold
Carrot,Grain,35,Sweet,Heavy,Hot
Barley,Legume,250,Pungent,Light,Hot
Ginger,Grain,279,Astringent,Oily,Cold
Ghee,Spice,268,Bitter,Cool,Cold
Moong Dal,Legume,93,Pungent,Warm,Cold
Black Beans,Nut,74,Pungent,Light,Hot
Broccoli,Legume,259,Astringent,Dry,Cold
Barley,Dairy,89,Bitter,Light,Cold
Cauliflower,Legume,53,Pungent,Oily,Hot
Cashews,Legume,231,Bitter,Oily,Cold
Walnuts,Nut,153,Pungent,Warm,Hot
Mango,Grain,171,Bitter,Dry,Cold
Ghee,Dairy,190,Sweet,Cool,Cold
Milk,Legume,222,Sour,Oily,Hot
Ginger,Dairy,124,Astringent,Warm,Hot
Cashews,Legume,293,Pungent,Warm,Hot
Barley,Fruit,25,Sweet,Oily,Cold
Walnuts,Fruit,185,Astringent,Oily,Cold
Carrot,Nut,87,Sweet,Warm,Cold
Barley,Grain,40,Bitter,Cool,Hot
Almonds,Fruit,252,Pungent,Light,Cold
Cashews,Legume,30,Sweet,Light,Hot
Turmeric,Legume,88,Bitter,Dry,Cold
Ghee,Legume,72,Sour,Cool,Hot
Lentils (Dal),Spice,226,Astringent,Oily,Hot
Milk,Fruit,142,Astringent,Warm,Cold
Chickpeas,Vegetable,126,Astringent,Heavy,Cold
Apple,Vegetable,281,Astringent,Dry,Hot
Pomegranate,Dairy,78,Sour,Dry,Cold
Lentils (Dal),Dairy,124,Astringent,Heavy,Hot
Barley,Spice,33,Bitter,Warm,Cold
Ginger,Dairy,290,Sour,Heavy,Cold
Moong Dal,Fruit,265,Astringent,Heavy,Cold
Cumin,Vegetable,257,Sour,Heavy,Cold
Milk,Dairy,35,Sweet,Dry,Hot
Quinoa,Grain,273,Astringent,Cool,Cold
Broccoli,Nut,104,Sweet,Dry,Cold
Chickpeas,Spice,172,Pungent,Dry,Cold
Milk,Nut,174,Pungent,Light,Cold
Yogurt,Nut,57,Sweet,Cool,Cold
Turmeric,Fruit,166,Astringent,Dry,Cold
Kidney Beans,Spice,32,Bitter,Cool,Hot
Turmeric,Spice,68,Astringent,Warm,Hot
Barley,Grain,6,Pungent,Heavy,Cold
Cashews,Nut,181,Bitter,Oily,Hot
Moong Dal,Vegetable,138,Sour,Cool,Hot
Ghee,Spice,174,Sweet,Dry,Cold
Quinoa,Nut,155,Astringent,Dry,Hot
Cumin,Nut,1,Sour,Dry,Cold
Almonds,Dairy,106,Sour,Dry,Hot
Broccoli,Fruit,3,Sweet,Oily,Cold
Yogurt,Fruit,243,Pungent,Cool,Cold
Spinach,Fruit,194,Sweet,Oily,Hot
Barley,Nut,142,Pungent,Cool,Hot
Cauliflower,Dairy,36,Sour,Warm,Cold
Ginger,Legume,149,Sour,Cool,Cold
Quinoa,Grain,105,Bitter,Heavy,Hot
Chickpeas,Grain,68,Astringent,Dry,Cold
Barley,Vegetable,10,Pungent,Heavy,Hot
Ginger,Nut,67,Sour,Dry,Hot
